companyId,unitId,imei,esn,manufacturer,unitType,version,isRMA,liveAgeDays,HDOPQuality,ExcessiveEvents,LowBattery,IgnitionOnEventsAbnormal,PowerDisconnect,LowSatellites,DailyOdometerExceeded,WirelessSignal,MaintenanceLimitExceeded,LateEvents,CommLost,DailyEngineHoursExceeded
660,200135389,860092055664367,4675322253,CalAmp,"32 - bit","2630 LTE",0,73,63.832475662231445,0,0,0,0,0,0,0,0,0,0,0
24751,200052230,88B112290092,88B112290092,Geometris,"80 Series",88,0,667,0,841.1666666666666,0,5.666666507720947,0,0,0,0,0,0,0,0
25764,200089111,866626031287555,6B301VMH,VidFleet,VidFleet,4K,0,817,33.00830413555277,2679,0,0,0,0,0,0,0,0,0,0
4437,200104941,016100000240861,6B30182V,VidFleet,VidFleet,4K,0,501,38.86422436053936,0,0,6.818181991577148,0,0,0,0,0,0,0,0
23335,200052305,88B112240212,88B112240212,Geometris,"80 Series",88,0,1026,0,0,0,6.151374340057373,0,0,0,0,0,0,0,0
27532,200115600,016100000290049,6B301ATC,VidFleet,VidFleet,4K,0,374,48.37069568634033,0,0,6.088722229003906,0,0,0,0,0,0,0,0
26350,200091771,868996066977133,68B122290112,Geometris,"68 Series","68 Series",0,651,0,0,0,5.902777671813965,0,0,0,0,0,0,0,0
26664,200099819,355144090398394,3271030919,CalAmp,"32 - bit","LMU 3040",0,564,0,0,0,0,3.4305555555555554,0,107543.6875,0,0,0,0,0
21559,200072201,95X120600253,95X120600253,Geometris,"80 Series","95 Series USC",0,767,77.77311325073242,0,0,0,0,0,0,0,0,0,0,0
7074,200043592,358152104517062,4674783838,CalAmp,"32 - bit","2630 LTE",0,1439,106.26534461975098,0,6.055555555555555,5.770194871085031,0,0,0,0,0,0,0,0
23350,200035651,95X103070037,95X103070037,Geometris,"80 Series","95 Series USC",0,667,0,0,0,6.236978689829509,1.7777777777777777,0,0,0,0,0,0,0
26564,200126118,866626030973247,2B2DB2SB,VidFleet,VidFleet,360,0,227,71.30395380655925,2726.6,0,0,0,0,8239.657958984375,0,0,40.71109652519226,0,0
25083,200072719,68B120660108,68B120660108,Geometris,"68 Series","68 Series",0,667,66.90021514892578,2010.8,0,9.12377134958903,0,0,0,0,0,0,0,0
26503,200097842,865640065391523,88U122710366,Geometris,"80 Series",88,0,593,0,0,0,6.528121153513591,0,19.408845901489258,0,0,0,0,0,0
22925,200033267,87X102600034,87X102600034,Geometris,"80 Series","80 Series HSPA 3G",0,1342,0,732,0,0,0,0,0,0,0,0,0,0
6488,200108734,862464061343377,68B123620275,Geometris,"68 Series","68 Series",0,461,70.71619873046875,0,0,7.570723942347935,0,0,0,0,0,0,0,0
28601,200133072,88U123180434,88U123180434,Geometris,"80 Series",88,0,104,101.43712615966797,0,0,0,0,0,0,0,0,0,0,0
5468,200087230,68B122360243,68B122360243,Geometris,"68 Series","68 Series",0,667,99.15170151148087,802.12,0,0,0,52.587189701241506,0,0,0,0,0,0
4339,200036400,88X103290097,88X103290097,Geometris,"80 Series","80 Series HSPA 3G",0,667,0,0,0,5.96437070244237,0,0,0,0,0,0,0,0
27652,200118986,866016064507139,88U131790136,Geometris,"80 Series",88,0,334,92.47232818603516,0,0,0,0,0,0,0,0,0,0,0
22869,200030242,356052109348889,4674880684,CalAmp,"32 - bit","2630 LTE",0,667,0,832,85.29411764705883,6.189727783203125,7,75.08051109313965,0,0,1,0,0,0
4437,200095602,865640065033356,88U122660104,Geometris,"80 Series",88,0,609,0,0,0,5,0,0,0,0,0,0,0,0
27937,200122301,862464061264011,88B120960646,Geometris,"80 Series",88,0,283,0,0,0,7.25538969039917,0,0,0,0,0,0,0,0
24819,200123219,867198050034275,87X102170033,Geometris,"80 Series","80 Series HSPA 3G",0,271,0,0,0,6.235963225364685,1,0,0,0,0,0,0,0
28319,200128898,358152100884730,4572140008,CalAmp,"32 - bit","LMU3035 LTE",0,179,67.53461456298828,0,0,0,0,0,0,0,0,0,0,0
5489,200087300,68B122360183,68B122360183,Geometris,"68 Series","68 Series",0,667,100.89224586486816,0,0,9.100529034932455,0,21.951506233215333,0,0,0,0,0,0
23350,200079888,95X120730102,95X120730102,Geometris,"80 Series","95 Series USC",0,667,0,0,0,7.389879941940308,0,0,0,0,0,0,0,0
20432,200126456,866016064500688,88U132720046,Geometris,"80 Series",88,0,217,114.57165442572699,780,0,0,0,66.66666412353516,0,0,0,10.227272987365723,0,0
4437,200108106,862427060262393,88X130600355,Geometris,"80 Series",88,0,468,83.69127655029297,0,0,8.893714237213135,0,0,0,0,0,0,0,0
22870,200030257,356052109321845,4674880720,CalAmp,"32 - bit","2630 LTE",0,667,0,0,1.7727272727272727,0,0,0,0,0,0,0,0,0
27003,200107621,016100000210963,6B3019KW,VidFleet,VidFleet,4K,0,474,25.63720841841264,0,0,5.223880767822266,0,0,0,0,0,67.19424438476562,0,0
27480,200114608,868199051831783,4675080178,CalAmp,"32 - bit","LMU2630 CAT_M",0,390,69.22246037697306,955,5.75,0,1.6666666666666667,0,0,0,0,0,0,0
5673,200082487,68B121170153,68B121170153,Geometris,"68 Series","68 Series",0,667,72.03311411539714,821.3333333333334,0,6.25,0,0,0,0,0,0,0,0
3720,200083796,68B121870110,68B121870110,Geometris,"68 Series","68 Series",0,667,0,0,0,6.01802396774292,0,0,0,0,0,0,0,0
26999,200107577,865640065052042,88U123480348,Geometris,"80 Series",88,0,475,0,0,0,5.1724138259887695,0,0,0,0,0,0,0,0
26327,200091499,862464061086828,88B121440422,Geometris,"80 Series",88,0,657,0,0,0,7.211538314819336,0,0,0,0,0,0,0,0
3352,200077897,88B121380562,88B121380562,Geometris,"80 Series",88,0,691,0,0,0,5.20231016476949,1,0,0,0,0,0,0,0
26548,200096736,866258044936398,96X120480002,Geometris,"80 Series","96-ATT Series",0,600,0,0,0,5.128205299377441,0,0,0,0,0,0,0,0
4437,200092286,016100000016014,6B301JXZ,VidFleet,VidFleet,4K,0,644,39.46624422073364,0,0,0,0,0,0,0,0,0,0,0
4437,200072588,88B120600426,88B120600426,Geometris,"80 Series",88,0,810,0,0,0,6.302100419998169,0,0,0,0,0,0,0,0
24353,200134280,863427061651965,88X140500154,Geometris,"80 Series",88,0,88,95.99526977539062,0,0,0,0,0,0,0,0,0,0,0
4949,200045897,96X111040043,96X111040043,Geometris,"80 Series","96-ATT Series",0,667,0,0,0,0,0,0,0,0,0,27.751195907592773,0,0
6379,200065566,68B120040369,68B120040369,Geometris,"68 Series","68 Series",0,667,72.09771728515625,0,0,6.113868296146393,0,0,0,0,0,0,0,0
24876,200089473,866626031168409,6B301T6B,VidFleet,VidFleet,4K,0,727,71.51855692863464,0,0,0,0,0,0,0,0,0,0,0
22187,200049266,868199051876341,4675079974,CalAmp,"32 - bit","LMU2630 CAT_M",0,1084,0,0,1.2,0,0,0,0,0,0,0,0,0
28118,200133129,862427063937967,88X140380342,Geometris,"80 Series",88,0,103,75.13676147460937,801.375,0,0,1.2727272727272727,0,0,0,0,11.587983131408691,0,0
23609,200040129,95X110050050,95X110050050,Geometris,"80 Series","95 Series USC",0,1111,90.95408172607422,884,0,0,0,27.298049926757812,0,0,0,0,0,0
3280,200030480,87X102090189,87X102090189,Geometris,"80 Series","80 Series HSPA 3G",0,667,0,754.4,0,0,0,0,0,0,0,0,0,0
23922,200041828,68X110610054,68X110610054,Geometris,"68 Series","68 Series",0,667,82.3726749420166,0,0,7.0437562465667725,0,0,0,0,0,0,0,0
7172,200068016,88B120330302,88B120330302,Geometris,"80 Series",88,0,667,0,0,0,14,0,0,0,0,0,0,0,0
23250,200073416,88B120480694,88B120480694,Geometris,"80 Series",88,0,667,0,0,0,7.538645108540853,0,0,0,0,0,0,0,0
28363,200129399,863427060900454,88X133530050,Geometris,"80 Series",88,0,167,73.88720889207794,837,0,0,2.3076923076923075,0,0,0,0,10.73717975616455,0,0
24957,200054837,88B112530115,88B112530115,Geometris,"80 Series",88,0,979,0,769.6774193548387,1,8.163265228271484,0,0,0,0,0,13.373860359191895,0,0
25090,200057127,68B112430003,68B112430003,Geometris,"68 Series","68 Series",0,921,71.25952758789063,2941.2,0,7.291666507720947,0,0,0,0,0,0,0,0
21906,200017955,357766093246101,4674558853,CalAmp,"32 - bit","2630 LTE",0,667,90.8303370475769,818.2916666666666,7.0588235294117645,6.428981304168701,5,0,0,0,1,0,0,0
3280,200120539,862464060963068,88B120520075,Geometris,"80 Series",88,0,307,84.07016118367513,794.3333333333334,0,0,1,0,0,0,0,14.629948616027832,0,0
4437,200095618,865640065025931,88U122660129,Geometris,"80 Series",88,0,609,0,0,2.4,0,0,0,0,0,0,0,0,0
